id_in_tp	bigg	metnetx	metacyc	kegg	seed	type	model
2pg_c	['2pg', 'M_2pg']	MNXM275	2-PG	C00631	cpd00482	met	iML1515
13dpg_c	['M_13dpg', '13dpg']	MNXM261	DPG	C00236	cpd00203	met	iML1515
prbamp_c	['M_prbamp', 'prbamp']	MNXM1515	PHOSPHORIBOSYL-AMP	C02741	cpd01777	met	iML1515
grdp_c	['grdp', 'M_grdp']	MNXM100	GERANYL-PP	C00341	cpd00283	met	iML1515
dms_e	['M_dms', 'dms']	MNXM444	CPD-7670	C00580	cpd00450	met	iML1515
fpram_c	['fpram', 'M_fpram']	MNXM479745				met	iML1515
dcyt_p	['dcyt', 'M_dcyt']	MNXM704	DEOXYCYTIDINE	C00881	cpd00654	met	iML1515
fum_p	['fum', 'M_fum']	MNXM93	FUM	['D02308', 'C00122']	cpd00106	met	iML1515
tyr__L_p	['M_tyr__L', 'tyr__L']	MNXM76	TYR	['C01536', 'D00022', 'C00082']	['cpd30745', 'cpd00069']	met	iML1515
feenter_e	['M_feenter', 'feenter']	MNXM7354		C06230		met	iML1515
gg4abut_c	['gg4abut', 'M_gg4abut']	MNXM1406	CPD-9000	C15767	cpd11408	met	iML1515
arbtn_e	['M_arbtn', 'arbtn']	MNXM96506			cpd15411	met	iML1515
aso3_c	['M_aso3', 'aso3']	MNXM658	['CPD0-2040', 'CPD-763']	C06697	['cpd04098', 'cpd26385']	met	iML1515
cpgn_un_e	['cpgn_un', 'M_cpgn_un']	MNXM2999	CPD0-2262		cpd15438	met	iML1515
alaala_e	['M_alaala', 'alaala']	MNXM669	D-ALA-D-ALA	C00993	cpd00731	met	iML1515
3ohexACP_c	['M_3ohexACP', '3ohexACP']	MNXM25602	3-oxo-hexanoyl-ACPs	C05746	cpd11486	met	iML1515
3ocddec5eACP_c	['M_3ocddec5eACP', '3ocddec5eACP']	MNXM6837			cpd15373	met	iML1515
clpn120_p	['clpn120', 'M_clpn120']	MNXM5078				met	iML1515
apg141_c	['M_apg141', 'apg141']	MNXM7019				met	iML1515
dca_c	['dca', 'M_dca']	MNXM162295				met	iML1515
dkdglcn_c						met	iML1515
chtbs_p	['chtbs', 'M_chtbs']	MNXM722863				met	iML1515
fusa_p	['fusa', 'M_fusa']	MNXM125818	CPD0-1606	['D04281', 'C06694']	cpd04095	met	iML1515
metglcur_c						met	iML1515
pep_c	['M_pep', 'pep']	MNXM73	PHOSPHO-ENOL-PYRUVATE	C00074	cpd00061	met	iML1515
h_c	['M_h', 'h']	MNXM1	PROTON	C00080	cpd00067	met	iML1515
rib__D_c	['M_rib__D', 'rib__D']	MNXM242	D-Ribofuranose	['C00121', 'C21057']	cpd00105	met	iML1515
2dr1p_c	['M_2dr1p', '2dr1p']	MNXM1063		C00672	['cpd26845', 'cpd00509']	met	iML1515
gthrd_c	['M_gthrd', 'gthrd']	MNXM57	GLUTATHIONE	['C00051', 'D00014']	cpd00042	met	iML1515
ala__L_e	['M_ala__L', 'ala__L']	MNXM32	L-ALPHA-ALANINE	['C00041', 'D00012', 'C01401']	['cpd01003', 'cpd00035']	met	iML1515
