qseqid,sseqid,evalue,pident,length,bitscore,ppos
b0006,MBLCLPDI_00543,6.369999999999999e-41,36.576,257,137.0,54.47
b0014,MBLCLPDI_00791,0.0,55.705,596,641.0,73.32
b0015,MBLCLPDI_00792,4.129999999999999e-105,46.428999999999995,392,311.0,60.2
b0025,MBLCLPDI_00787,3.9199999999999994e-43,33.121,314,147.0,53.18
b0026,MBLCLPDI_00680,0.0,40.943000000000005,933,728.0,60.02
b0030,MBLCLPDI_00108,2.0499999999999995e-94,50.0,300,278.0,65.33
b0032,MBLCLPDI_00091,6.609999999999998e-100,42.133,375,297.0,60.8
b0033,MBLCLPDI_00090,0.0,48.243,1053,983.0,67.33
b0051,MBLCLPDI_00231,3.77e-43,33.577,274,145.0,52.55
b0061,MBLCLPDI_00531,4.3999999999999995e-88,56.277,231,256.0,67.1
b0062,MBLCLPDI_00532,3.479999999999999e-152,44.915,472,439.0,63.35
b0080,MBLCLPDI_02014,1.07e-25,38.667,150,100.0,57.33
b0082,MBLCLPDI_00667,1.1299999999999998e-74,41.745,321,228.0,58.88
b0086,MBLCLPDI_00261,1.7e-54,31.236,445,184.0,49.44
b0087,MBLCLPDI_00670,1.1099999999999998e-64,37.059,340,204.0,56.47
b0088,MBLCLPDI_00671,7.35e-46,31.579,456,160.0,49.56
b0089,MBLCLPDI_00720,3.91e-55,31.675,382,184.0,51.83
b0090,MBLCLPDI_00672,3.5399999999999992e-43,31.18,356,149.0,47.75
b0091,MBLCLPDI_01385,1.64e-58,29.322,457,195.0,47.92
b0094,MBLCLPDI_00674,1.7699999999999995e-52,29.351,385,178.0,52.73
b0095,MBLCLPDI_00675,2.3799999999999997e-89,52.614,306,271.0,73.2
b0098,MBLCLPDI_00396,0.0,47.273,825,728.0,65.21
b0103,MBLCLPDI_01380,2.73e-34,39.583,192,117.0,53.65
b0107,MBLCLPDI_00603,1.8599999999999996e-50,35.926,270,170.0,57.41
b0116,MBLCLPDI_00716,1.5899999999999997e-102,38.889,468,311.0,58.97
b0125,MBLCLPDI_02089,4.229999999999999e-43,39.535,172,138.0,67.44
b0127,MBLCLPDI_01568,6.709999999999999e-29,36.5,200,108.0,54.5
b0142,MBLCLPDI_01415,2.73e-32,42.857,133,109.0,61.65
b0143,MBLCLPDI_00855,2.2599999999999998e-30,36.449,214,117.0,51.87
b0154,MBLCLPDI_01856,2.4899999999999993e-159,52.048,415,452.0,69.88
b0155,MBLCLPDI_00432,3.05e-45,32.407,432,161.0,51.85
b0159,MBLCLPDI_00684,3.449999999999999e-67,45.852,229,203.0,62.01
b0161,MBLCLPDI_00026,9.65e-43,37.282,287,152.0,56.1
b0168,MBLCLPDI_01535,1.9499999999999999e-56,37.349000000000004,249,179.0,57.43
b0169,MBLCLPDI_00769,3.3599999999999993e-91,53.218999999999994,233,265.0,71.67
b0170,MBLCLPDI_00770,5.919999999999999e-67,40.21,286,206.0,60.49
b0171,MBLCLPDI_00771,4.5099999999999995e-73,45.25899999999999,232,219.0,69.4
b0172,MBLCLPDI_00772,1.6799999999999999e-49,46.409,181,155.0,66.85
b0174,MBLCLPDI_00775,8.769999999999998e-72,46.218,238,216.0,63.87
b0175,MBLCLPDI_00776,4.869999999999999e-34,42.138000000000005,159,120.0,59.75
b0176,MBLCLPDI_00777,1.92e-33,33.478,230,126.0,50.43
b0180,MBLCLPDI_01081,1.11e-36,44.526,137,119.0,63.5
b0183,MBLCLPDI_00865,1.4599999999999998e-45,44.92,187,147.0,61.5
b0184,MBLCLPDI_00838,0.0,33.59,1170,624.0,54.1
b0185,MBLCLPDI_01078,1.0899999999999999e-68,42.471000000000004,259,211.0,62.55
b0188,MBLCLPDI_00284,1.42e-30,30.451,266,119.0,48.87
b0194,MBLCLPDI_00778,4.879999999999999e-171,44.792,576,493.0,63.72
b0197,MBLCLPDI_00209,3.82e-52,37.132,272,167.0,56.62
b0198,MBLCLPDI_00207,2.62e-42,44.828,203,139.0,64.04
b0219,MBLCLPDI_00377,1.4e-32,33.632,223,116.0,53.36
b0242,MBLCLPDI_00376,2.26e-49,37.597,258,163.0,57.36
b0243,MBLCLPDI_00375,7.699999999999998e-127,45.873999999999995,412,369.0,64.81
b0256,MBLCLPDI_00263,7.6200000000000005e-28,32.836,268,107.0,51.12
b0258,MBLCLPDI_00249,2.13e-43,37.097,248,152.0,53.63
b0260,MBLCLPDI_01169,0.0,58.613,447,528.0,74.72
b0261,MBLCLPDI_01170,3.6299999999999993e-90,46.918,292,267.0,63.7
b0270,MBLCLPDI_01213,3.44e-26,24.429000000000002,438,107.0,47.72
b0273,MBLCLPDI_00468,1.1499999999999995e-132,56.023999999999994,332,377.0,71.08
b0304,MBLCLPDI_00191,5.019999999999999e-147,46.622,444,422.0,66.89
b0306,MBLCLPDI_00406,1.14e-65,41.841,239,201.0,59.83
b0307,MBLCLPDI_00405,5.859999999999998e-156,46.263000000000005,495,448.0,64.04
b0308,MBLCLPDI_00404,5.74e-27,27.426,237,100.0,48.1
b0337,MBLCLPDI_00276,8.009999999999996e-168,55.746,409,473.0,73.11
b0344,MBLCLPDI_00315,3.879999999999999e-106,33.856,638,340.0,52.04
b0356,MBLCLPDI_01735,9.89e-60,35.657,373,193.0,52.55
b0369,MBLCLPDI_01857,5.7499999999999985e-120,54.25899999999999,317,344.0,71.29
b0381,MBLCLPDI_00526,9.409999999999997e-99,40.496,363,294.0,63.64
b0386,MBLCLPDI_00374,2.0199999999999997e-37,31.154,260,129.0,51.54
b0398,MBLCLPDI_01161,3.0999999999999995e-27,26.951999999999998,397,107.0,45.09
b0400,MBLCLPDI_00459,6.34e-36,33.184,223,134.0,56.05
b0401,MBLCLPDI_01967,1.92e-57,33.643,431,192.0,52.2
b0406,MBLCLPDI_00579,7.72e-50,29.076,368,167.0,47.01
