qseqid,sseqid,evalue,pident,length,bitscore,ppos
stu0001,MBLCLPDI_00001,2.3499999999999992e-121,43.545,457,357.0,63.46
stu0002,MBLCLPDI_00002,5.929999999999998e-104,42.632,380,308.0,65.26
stu0004,MBLCLPDI_00115,6.72e-179,68.194,371,497.0,83.56
stu0005,MBLCLPDI_00279,1.1499999999999998e-54,48.387,186,168.0,67.74
stu0006,MBLCLPDI_00280,0.0,45.69,1160,1016.0,65.0
stu0007,MBLCLPDI_00281,9.809999999999999e-31,56.18,89,100.0,76.4
stu0010,MBLCLPDI_00284,1.67e-42,28.570999999999998,434,151.0,47.47
stu0011,MBLCLPDI_00285,3.02e-60,48.876000000000005,178,181.0,70.79
stu0012,MBLCLPDI_00286,0.0,60.656000000000006,671,723.0,74.66
stu0020,MBLCLPDI_00563,1.2399999999999998e-42,32.963,270,143.0,55.19
stu0023,MBLCLPDI_00239,4.189999999999999e-158,66.454,313,441.0,85.94
stu0026,MBLCLPDI_00048,2.3899999999999993e-128,47.423,388,371.0,66.75
stu0027,MBLCLPDI_00827,7.049999999999998e-63,39.676,247,194.0,59.51
stu0028,MBLCLPDI_01293,6.329999999999997e-123,54.03,335,353.0,71.04
stu0030,MBLCLPDI_00143,2.4099999999999992e-86,53.448,232,252.0,70.26
stu0032,MBLCLPDI_00147,0.0,66.038,477,645.0,81.55
stu0033,MBLCLPDI_00148,4.669999999999999e-130,54.678000000000004,342,371.0,71.93
stu0034,MBLCLPDI_00149,4.5499999999999994e-63,46.667,180,189.0,71.67
stu0035,MBLCLPDI_00150,0.0,60.506,514,640.0,76.65
stu0040,MBLCLPDI_00151,1.1799999999999997e-122,44.869,419,358.0,63.72
stu0041,MBLCLPDI_00140,5.8e-63,56.688,157,187.0,74.52
stu0042,MBLCLPDI_00141,2.6599999999999996e-113,50.29600000000001,338,331.0,67.46
stu0045,MBLCLPDI_00142,0.0,65.581,430,613.0,81.4
stu0047,MBLCLPDI_01405,0.0,52.736999999999995,548,598.0,70.8
stu0050,MBLCLPDI_00575,0.0,50.731,889,875.0,68.05
stu0054,MBLCLPDI_00576,0.0,46.141999999999996,674,605.0,64.69
stu0056,MBLCLPDI_00577,1.4399999999999998e-58,45.226000000000006,199,179.0,68.84
stu0057,MBLCLPDI_01434,1.52e-45,39.623000000000005,159,144.0,66.67
stu0059,MBLCLPDI_00572,2.6099999999999997e-98,41.784,426,296.0,56.81
