qseqid,sseqid,evalue_x,pident_x,length_x,bitscore_x,ppos_x,qcovs_x,evalue_y,pident_y,length_y,bitscore_y,ppos_y,qcovs_y
BSU00010,MBLCLPDI_00001,1.0399999999999998e-136,49.558,452,396.0,64.6,100,8.639999999999997e-143,49.558,452,412.0,64.6,99
BSU00020,MBLCLPDI_00002,6.089999999999998e-127,50.131,381,366.0,69.55,100,1.2799999999999996e-126,50.131,381,366.0,69.55,100
BSU00040,MBLCLPDI_00004,2.3099999999999992e-138,53.351000000000006,373,395.0,69.71,100,4.609999999999999e-134,53.351000000000006,373,385.0,69.71,99
BSU00060,MBLCLPDI_00005,0.0,66.405,637,855.0,82.42,99,0.0,66.405,637,862.0,82.42,98
BSU00070,MBLCLPDI_00006,0.0,61.294,819,1041.0,80.34,99,0.0,61.556999999999995,809,1059.0,80.47,97
BSU00090,MBLCLPDI_00122,5.5e-36,69.318,88,133.0,85.23,73,8.96e-36,69.318,88,133.0,85.23,96
BSU00100,MBLCLPDI_01699,1.0900000000000001e-52,33.162,389,178.0,51.16,86,3.3e-52,33.333,390,177.0,51.54,93
BSU00130,MBLCLPDI_00103,4.209999999999999e-172,56.355,417,485.0,74.34,98,9.019999999999998e-172,56.355,417,485.0,74.34,95
BSU00140,MBLCLPDI_01655,9.969999999999999e-34,35.122,205,116.0,55.12,91,2.0499999999999997e-33,35.122,205,116.0,55.12,95
BSU00180,MBLCLPDI_00354,1.35e-53,51.724,145,164.0,68.97,90,7.86e-55,52.027,148,167.0,69.59,87
BSU00190,MBLCLPDI_00355,0.0,44.498000000000005,618,520.0,63.27,100,0.0,45.306999999999995,618,535.0,64.72,99
BSU00210,MBLCLPDI_00357,8.509999999999997e-91,60.803999999999995,199,260.0,81.41,100,1.7999999999999997e-90,60.803999999999995,199,260.0,81.41,99
BSU00280,MBLCLPDI_00359,1.33e-71,51.691,207,213.0,71.01,96,2.7899999999999993e-71,51.691,207,213.0,71.01,96
BSU00290,MBLCLPDI_00360,3.6699999999999996e-36,50.458999999999996,109,115.0,72.48,100,7.529999999999999e-36,50.458999999999996,109,115.0,72.48,100
