qseqid,sseqid,evalue_x,pident_x,length_x,bitscore_x,ppos_x,qcovs_x,evalue_y,pident_y,length_y,bitscore_y,ppos_y,qcovs_y
stu0001,MBLCLPDI_00001,2.3499999999999992e-121,43.545,457,357.0,63.46,100,7.789999999999998e-126,43.545,457,368.0,63.46,99
stu0002,MBLCLPDI_00002,5.929999999999998e-104,42.632,380,308.0,65.26,99,4.5499999999999986e-104,42.632,380,308.0,65.26,99
stu0004,MBLCLPDI_00115,6.72e-179,68.194,371,497.0,83.56,100,0.0,68.194,371,511.0,83.56,100
stu0005,MBLCLPDI_00279,1.1499999999999998e-54,48.387,186,168.0,67.74,98,2.2699999999999996e-60,48.387,186,182.0,67.74,99
stu0006,MBLCLPDI_00280,0.0,45.69,1160,1016.0,65.0,98,0.0,46.46,1130,993.0,65.75,95
stu0007,MBLCLPDI_00281,9.809999999999999e-31,56.18,89,100.0,76.4,98,7.409999999999999e-31,56.18,89,100.0,76.4,99
stu0010,MBLCLPDI_00284,1.67e-42,28.570999999999998,434,151.0,47.47,90,1.4e-42,28.570999999999998,434,151.0,47.47,89
stu0011,MBLCLPDI_00285,3.02e-60,48.876000000000005,178,181.0,70.79,99,2.3099999999999998e-60,48.876000000000005,178,181.0,70.79,99
stu0012,MBLCLPDI_00286,0.0,60.656000000000006,671,723.0,74.66,99,0.0,61.193999999999996,670,767.0,75.07,95
stu0020,MBLCLPDI_00563,1.2399999999999998e-42,32.963,270,143.0,55.19,96,4.51e-34,34.842,221,120.0,56.11,78
stu0023,MBLCLPDI_00239,4.189999999999999e-158,66.454,313,441.0,85.94,98,6.379999999999998e-153,66.454,313,427.0,85.94,94
stu0026,MBLCLPDI_00048,2.3899999999999993e-128,47.423,388,371.0,66.75,99,6.589999999999998e-130,47.423,388,375.0,66.75,98
stu0027,MBLCLPDI_00827,7.049999999999998e-63,39.676,247,194.0,59.51,95,5.469999999999999e-63,39.676,247,194.0,59.51,95
stu0028,MBLCLPDI_01293,6.329999999999997e-123,54.03,335,353.0,71.04,99,4.959999999999999e-123,54.03,335,353.0,71.04,98
stu0030,MBLCLPDI_00143,2.4099999999999992e-86,53.448,232,252.0,70.26,98,1.8799999999999997e-86,53.448,232,252.0,70.26,97
stu0032,MBLCLPDI_00147,0.0,66.038,477,645.0,81.55,99,0.0,66.038,477,671.0,81.55,99
stu0033,MBLCLPDI_00148,4.669999999999999e-130,54.678000000000004,342,371.0,71.93,99,8.239999999999999e-119,54.678000000000004,342,342.0,71.93,99
stu0034,MBLCLPDI_00149,4.5499999999999994e-63,46.667,180,189.0,71.67,94,3.5899999999999993e-63,46.667,180,189.0,71.67,95
stu0035,MBLCLPDI_00150,0.0,60.506,514,640.0,76.65,99,0.0,60.506,514,640.0,76.65,99
stu0040,MBLCLPDI_00151,1.1799999999999997e-122,44.869,419,358.0,63.72,99,8.979999999999999e-123,44.869,419,358.0,63.72,98
stu0041,MBLCLPDI_00140,5.8e-63,56.688,157,187.0,74.52,97,4.3999999999999994e-63,56.688,157,187.0,74.52,98
stu0042,MBLCLPDI_00141,2.6599999999999996e-113,50.29600000000001,338,331.0,67.46,92,6.649999999999998e-117,50.876999999999995,342,340.0,67.84,89
stu0045,MBLCLPDI_00142,0.0,65.581,430,613.0,81.4,99,0.0,65.581,430,613.0,81.4,99
stu0047,MBLCLPDI_01405,0.0,52.736999999999995,548,598.0,70.8,97,0.0,52.22,563,608.0,70.87,100
stu0050,MBLCLPDI_00575,0.0,50.731,889,875.0,68.05,100,0.0,50.395,887,872.0,67.64,99
stu0054,MBLCLPDI_00576,0.0,46.141999999999996,674,605.0,64.69,99,0.0,46.141999999999996,674,605.0,64.69,99
stu0056,MBLCLPDI_00577,1.4399999999999998e-58,45.226000000000006,199,179.0,68.84,99,1.5200000000000001e-56,44.443999999999996,198,173.0,68.18,99
stu0057,MBLCLPDI_01434,1.52e-45,39.623000000000005,159,144.0,66.67,86,1.13e-45,39.623000000000005,159,144.0,66.67,89
stu0059,MBLCLPDI_00572,2.6099999999999997e-98,41.784,426,296.0,56.81,98,1.9599999999999995e-98,41.784,426,296.0,56.81,99
stu0060,MBLCLPDI_00573,2.3899999999999993e-169,66.667,342,473.0,82.46,89,1.7199999999999993e-169,66.667,342,473.0,82.46,93
stu0062,MBLCLPDI_00779,0.0,49.625,1465,1491.0,69.15,99,0.0,49.82899999999999,1465,1505.0,69.69,99
stu0073,MBLCLPDI_00769,2.0299999999999993e-144,72.20100000000001,259,401.0,86.49,99,2.9799999999999997e-139,72.20100000000001,259,387.0,86.49,99
stu0074,MBLCLPDI_00770,4.3700000000000005e-91,44.412,340,270.0,60.88,98,5.139999999999999e-80,44.412,340,241.0,60.88,99
stu0076,MBLCLPDI_01647,4.2799999999999994e-43,48.684,152,136.0,67.76,98,3.76e-41,50.794,126,130.0,70.63,81
stu0080,MBLCLPDI_01699,1.55e-42,31.451999999999998,372,150.0,54.03,86,3.869999999999999e-45,32.086,374,157.0,54.55,90
stu0084,MBLCLPDI_00330,0.0,54.468,470,529.0,70.43,100,0.0,54.468,470,529.0,70.43,100
stu0085,MBLCLPDI_00331,1.4699999999999999e-50,58.4,125,154.0,76.0,94,1.16e-50,58.4,125,154.0,76.0,91
stu0088,MBLCLPDI_00332,1.7499999999999998e-84,51.883,239,248.0,69.46,96,1.3499999999999997e-84,51.883,239,248.0,69.46,96
stu0092,MBLCLPDI_00379,3.979999999999999e-175,71.473,319,484.0,85.27,100,3.0699999999999984e-175,71.473,319,484.0,85.27,99
stu0093,MBLCLPDI_01603,5.179999999999999e-77,68.493,146,221.0,84.93,99,3.929999999999999e-77,68.493,146,221.0,84.93,99
stu0094,MBLCLPDI_01602,2.0699999999999997e-71,75.781,128,206.0,89.06,98,1.5899999999999999e-71,75.781,128,206.0,89.06,98
stu0113,MBLCLPDI_01027,0.0,70.917,447,639.0,82.55,100,0.0,70.917,447,639.0,82.55,100
stu0117,MBLCLPDI_01600,6.33e-29,32.804,189,103.0,50.79,97,5.18e-29,32.804,189,103.0,50.79,90
stu0118,MBLCLPDI_00789,5.85e-52,28.901999999999997,346,172.0,52.02,93,4.349999999999999e-52,28.901999999999997,346,172.0,52.02,99
stu0119,MBLCLPDI_00790,2.39e-44,45.122,164,142.0,67.07,84,3.81e-43,50.746,134,138.0,70.9,71
stu0120,MBLCLPDI_00791,0.0,76.96300000000001,573,890.0,88.13,94,0.0,74.548,609,873.0,85.39,98
stu0121,MBLCLPDI_00792,2.5199999999999993e-148,57.288999999999994,391,421.0,68.8,99,2.769999999999999e-148,58.747,383,420.0,70.23,99
stu0122,MBLCLPDI_01604,7.199999999999999e-81,49.799,249,239.0,64.66,99,5.6799999999999985e-81,49.799,249,239.0,64.66,97
stu0123,MBLCLPDI_01139,1.9500000000000002e-27,30.12,249,102.0,50.2,95,1.6e-27,30.12,249,102.0,50.2,90
stu0128,MBLCLPDI_00135,5.0199999999999987e-154,56.456,395,437.0,70.89,99,3.899999999999999e-154,56.456,395,437.0,70.89,97
stu0131,MBLCLPDI_00596,2.1199999999999997e-65,40.824,267,202.0,61.05,95,1.9599999999999998e-63,46.479,213,197.0,65.26,73
stu0132,MBLCLPDI_00734,1.4299999999999992e-160,53.864,427,456.0,73.07,99,1.1099999999999996e-160,53.864,427,456.0,73.07,98
stu0133,MBLCLPDI_00247,7.57e-40,58.974,117,130.0,69.23,60,2.82e-48,58.273,139,151.0,71.22,74
stu0134,MBLCLPDI_00248,0.0,71.107,533,811.0,83.86,99,0.0,71.107,533,811.0,83.86,99
stu0137,MBLCLPDI_00806,2.5499999999999994e-77,38.486,317,235.0,62.46,97,1.9599999999999997e-77,38.486,317,235.0,62.46,99
stu0138,MBLCLPDI_00807,1.3099999999999998e-56,41.129,248,177.0,59.27,99,9.98e-57,41.129,248,177.0,59.27,100
stu0144,MBLCLPDI_01918,8.4e-53,50.685,146,160.0,71.92,93,6.54e-53,50.685,146,160.0,71.92,94
stu0145,MBLCLPDI_00809,0.0,51.007,745,783.0,71.41,99,0.0,51.007,745,775.0,71.41,99
stu0146,MBLCLPDI_00810,8.880000000000001e-57,54.167,144,170.0,73.61,97,6.69e-57,54.167,144,170.0,73.61,99
stu0151,MBLCLPDI_00712,3.0999999999999993e-65,52.198,182,195.0,69.23,89,2.16e-65,52.198,182,195.0,69.23,95
stu0153,MBLCLPDI_01702,2.26e-33,27.901,362,124.0,50.0,90,1.32e-32,29.412,323,122.0,51.7,79
stu0154,MBLCLPDI_00730,4.8200000000000006e-43,70.78699999999999,89,131.0,84.27,100,3.68e-43,70.78699999999999,89,131.0,84.27,100
stu0164,MBLCLPDI_00977,1.7699999999999994e-135,72.374,257,379.0,86.38,98,1.0999999999999996e-138,72.763,257,386.0,86.38,97
stu0165,MBLCLPDI_00978,2.7099999999999994e-125,42.891000000000005,422,365.0,66.35,99,2.1099999999999996e-125,42.891000000000005,422,365.0,66.35,97
stu0166,MBLCLPDI_00979,0.0,61.443000000000005,402,523.0,78.11,97,0.0,61.443000000000005,402,523.0,78.11,98
stu0167,MBLCLPDI_00980,5.54e-48,52.113,142,148.0,70.42,97,4.5e-48,52.113,142,148.0,70.42,93
stu0168,MBLCLPDI_00981,0.0,70.61399999999999,456,702.0,86.18,97,0.0,70.61399999999999,456,702.0,86.18,97
stu0180,MBLCLPDI_00287,8.299999999999999e-89,44.599,287,263.0,68.64,99,6.739999999999998e-89,44.599,287,263.0,68.64,93
stu0181,MBLCLPDI_00288,1.2599999999999997e-130,55.238,315,372.0,74.6,97,9.839999999999998e-131,55.238,315,372.0,74.6,94
