locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBLCLPDI_00001	CDS	1323				chromosomal replication initiator protein DnaA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00002	CDS	1143				DNA polymerase III subunit beta, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00003	CDS	222				S4 domain-containing protein YaaA, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00004	CDS	1125				DNA replication and repair protein RecF, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00005	CDS	1950				DNA topoisomerase (ATP-hydrolyzing) subunit B, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00006	CDS	2505				DNA gyrase subunit A, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00007	CDS	297				30S ribosomal protein S6, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00008	CDS	564				single-stranded DNA-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00009	CDS	237				30S ribosomal protein S18, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00010	CDS	2019				DHH family phosphoesterase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00011	CDS	453				50S ribosomal protein L9, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00012	CDS	1392				replicative DNA helicase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00013	CDS	1203				MFS transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00014	CDS	327				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00015	CDS	879				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00016	CDS	558				XRE family transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00017	tRNA	76				tRNA-Lys(ctt)
MBLCLPDI_00018	CDS	435				MarR family transcriptional regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00019	CDS	1722				ABC transporter ATP-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00020	tRNA	76				tRNA-Lys(ctt)
MBLCLPDI_00021	CDS	708				DNA-binding response regulator, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00022	CDS	1866				cell wall metabolism sensor histidine kinase WalK, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00023	CDS	1296				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00024	CDS	843				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00025	CDS	807				MBL fold metallo-hydrolase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00026	CDS	1275				PDZ domain-containing protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00027	CDS	498				phosphatidylglycerophosphatase A, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00028	CDS	987				peptide ABC transporter substrate-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00029	CDS	510				23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00030	CDS	198				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00031	CDS	537				NAD(P)H-dependent oxidoreductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00032	CDS	1173				1,3-propanediol dehydrogenase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00033	CDS	864				sugar transporter, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00034	CDS	777				VOC family protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00035	CDS	813				pyrroline-5-carboxylate reductase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00036	CDS	1374				NAD-dependent succinate-semialdehyde dehydrogenase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00037	CDS	1083				efflux RND transporter periplasmic adaptor subunit, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00038	CDS	699				ABC transporter ATP-binding protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00039	CDS	1236				ABC transporter permease, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00040	CDS	165				hypothetical protein
MBLCLPDI_00041	CDS	405				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00042	CDS	1395				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00043	CDS	99				hypothetical protein
MBLCLPDI_00044	CDS	156				hypothetical protein
MBLCLPDI_00045	CDS	477				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00046	CDS	429				OsmC family peroxiredoxin, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00047	CDS	996				lactate dehydrogenase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00048	CDS	1188				aspartate aminotransferase, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
MBLCLPDI_00049	CDS	222				hypothetical protein, Lactobacillus reuteri MM4-1A, whole genome shotgun sequence
