qseqid,sseqid,evalue_x,pident_x,length_x,bitscore_x,ppos_x,qcovs_x,evalue_y,pident_y,length_y,bitscore_y,ppos_y,qcovs_y
WP_003663508.1,WP_003663508.1,3.0999999999999997e-29,100.0,61,119.8,100.0,100.0,3.0999999999999997e-29,100.0,61,119.8,100.0,100.0
WP_003663626.1,WP_003663626.1,6.899999999999999e-170,100.0,301,589.3,100.0,100.0,6.699999999999998e-170,100.0,301,589.3,100.0,100.0
WP_003663651.1,WP_003663651.1,2.899999999999999e-122,100.0,215,430.6,100.0,100.0,2.899999999999999e-122,100.0,215,430.6,100.0,100.0
WP_003663667.1,WP_003663667.1,4.999999999999999e-81,100.0,148,293.1,100.0,100.0,4.899999999999999e-81,100.0,148,293.1,100.0,100.0
WP_003663799.1,WP_003663799.1,9.799999999999998e-73,100.0,130,265.4,100.0,100.0,9.599999999999998e-73,100.0,130,265.4,100.0,100.0
WP_003663813.1,WP_003663813.1,1.1999999999999996e-146,100.0,252,511.9,100.0,100.0,1.0999999999999998e-146,100.0,252,511.9,100.0,100.0
WP_003663816.1,WP_003663816.1,3.3999999999999997e-48,100.0,91,183.3,100.0,100.0,3.3999999999999997e-48,100.0,91,183.3,100.0,100.0
WP_003663818.1,WP_003663818.1,1.4999999999999997e-61,100.0,113,228.0,100.0,100.0,1.4999999999999997e-61,100.0,113,228.0,100.0,100.0
WP_003663822.1,WP_003663822.1,6.599999999999998e-136,100.0,233,476.1,100.0,100.0,6.399999999999998e-136,100.0,233,476.1,100.0,100.0
WP_003663823.1,WP_003663823.1,3.4e-42,100.0,84,163.3,100.0,100.0,3.2999999999999996e-42,100.0,84,163.3,100.0,100.0
WP_003663831.1,WP_003668379.1,5.499999999999999e-62,100.0,120,229.6,100.0,100.0,5.499999999999999e-62,100.0,120,229.6,100.0,98.4
WP_003663833.1,WP_003663833.1,8.199999999999999e-30,100.0,61,121.7,100.0,100.0,8.1e-30,100.0,61,121.7,100.0,100.0
WP_003663836.1,WP_003668382.1,2.2999999999999995e-122,100.0,217,431.0,100.0,100.0,1.8e-122,100.0,217,431.4,100.0,93.9
WP_003663855.1,WP_003663855.1,8.999999999999999e-36,100.0,72,141.7,100.0,100.0,8.9e-36,100.0,72,141.7,100.0,100.0
WP_003663856.1,WP_003663856.1,4.8999999999999987e-119,100.0,206,419.9,100.0,100.0,4.7999999999999985e-119,100.0,206,419.9,100.0,100.0
WP_003663862.1,WP_003663862.1,1.6999999999999998e-47,100.0,93,181.0,100.0,100.0,1.6999999999999998e-47,100.0,93,181.0,100.0,100.0
WP_003663867.1,WP_003663867.1,2.6e-74,100.0,145,270.8,100.0,100.0,2.6e-74,100.0,145,270.8,100.0,100.0
WP_003664006.1,WP_003664006.1,2.4e-49,100.0,93,187.2,100.0,100.0,2.4e-49,100.0,93,187.2,100.0,100.0
WP_003664009.1,WP_003664009.1,7.999999999999999e-54,100.0,102,202.2,100.0,100.0,7.799999999999999e-54,100.0,102,202.2,100.0,100.0
WP_003664039.1,WP_003664039.1,6.8e-26,100.0,58,108.6,100.0,100.0,6.7e-26,100.0,58,108.6,100.0,100.0
WP_003664049.1,WP_003664049.1,6.4e-25,100.0,49,105.1,100.0,100.0,6.3000000000000005e-25,100.0,49,105.1,100.0,100.0
WP_003664064.1,WP_003664064.1,1.7e-82,100.0,158,298.1,100.0,100.0,1.5999999999999998e-82,100.0,158,298.1,100.0,100.0
WP_003664092.1,WP_003664092.1,1.3e-32,100.0,59,131.0,100.0,100.0,1.3e-32,100.0,59,131.0,100.0,100.0
WP_003664093.1,WP_003664093.1,1.4999999999999995e-103,100.0,185,368.2,100.0,100.0,1.4999999999999995e-103,100.0,185,368.2,100.0,100.0
WP_003664099.1,WP_003664099.1,2.2000000000000003e-51,100.0,103,194.1,100.0,100.0,2.2000000000000003e-51,100.0,103,194.1,100.0,100.0
WP_003664106.1,WP_003664106.1,2.6999999999999997e-31,100.0,65,126.7,100.0,100.0,2.6999999999999997e-31,100.0,65,126.7,100.0,100.0
WP_003664118.1,WP_003664118.1,3.899999999999999e-89,100.0,152,320.1,100.0,100.0,3.7999999999999994e-89,100.0,152,320.1,100.0,100.0
WP_003664132.1,WP_003668500.1,2.7e-60,100.0,106,223.8,100.0,100.0,2.7e-60,100.0,106,223.8,100.0,97.2
WP_003664133.1,WP_003664133.1,8.8e-62,100.0,112,228.8,100.0,100.0,8.6e-62,100.0,112,228.8,100.0,100.0
WP_003664174.1,WP_003664174.1,1.3000000000000002e-44,100.0,90,171.4,100.0,100.0,1.3000000000000002e-44,100.0,90,171.4,100.0,100.0
WP_003664176.1,WP_003664176.1,1.2e-47,100.0,111,181.8,100.0,100.0,1.2e-47,100.0,111,181.8,100.0,100.0
WP_003664184.1,WP_003664184.1,7.299999999999998e-109,100.0,192,386.0,100.0,100.0,7.199999999999999e-109,100.0,192,386.0,100.0,100.0
WP_003664194.1,WP_003664194.1,1.6999999999999998e-47,100.0,92,181.0,100.0,100.0,1.6999999999999998e-47,100.0,92,181.0,100.0,100.0
WP_003664204.1,WP_003664204.1,5.899999999999999e-120,100.0,210,422.9,100.0,100.0,5.799999999999999e-120,100.0,210,422.9,100.0,100.0
WP_003664225.1,WP_003664225.1,2.8e-81,100.0,143,293.9,100.0,100.0,2.8e-81,100.0,143,293.9,100.0,100.0
WP_003664234.1,WP_003664234.1,1.1e-115,100.0,192,408.7,100.0,100.0,9.999999999999997e-116,100.0,192,408.7,100.0,100.0
WP_003664342.1,WP_003664342.1,3.2e-43,100.0,88,166.8,100.0,100.0,3.0999999999999995e-43,100.0,88,166.8,100.0,100.0
WP_003664345.1,WP_003664345.1,3.3e-31,100.0,61,126.3,100.0,100.0,3.3e-31,100.0,61,126.3,100.0,100.0
WP_003664422.1,WP_003664422.1,1.6999999999999998e-78,100.0,145,284.6,100.0,100.0,1.6999999999999998e-78,100.0,145,284.6,100.0,100.0
WP_003664436.1,WP_003664436.1,1.8999999999999997e-101,100.0,184,361.3,100.0,100.0,1.7999999999999997e-101,100.0,184,361.3,100.0,100.0
WP_003664443.1,WP_003664443.1,2.9999999999999997e-96,100.0,179,344.0,100.0,100.0,2.8999999999999995e-96,100.0,179,344.0,100.0,100.0
WP_003664448.1,WP_003664448.1,6.700000000000001e-56,100.0,104,209.1,100.0,100.0,6.5e-56,100.0,104,209.1,100.0,100.0
WP_003664454.1,WP_003664454.1,5.599999999999998e-80,100.0,150,289.7,100.0,100.0,5.499999999999999e-80,100.0,150,289.7,100.0,100.0
WP_003664455.1,WP_003664455.1,7.399999999999998e-65,100.0,128,239.2,100.0,100.0,7.299999999999999e-65,100.0,128,239.2,100.0,100.0
WP_003664466.1,WP_003664466.1,2.9e-40,100.0,78,156.8,100.0,100.0,2.9e-40,100.0,78,156.8,100.0,100.0
WP_003664505.1,WP_003664505.1,1.2999999999999994e-207,100.0,371,714.9,100.0,100.0,1.2999999999999994e-207,100.0,371,714.9,100.0,100.0
WP_003664517.1,WP_003664517.1,2.7999999999999994e-84,100.0,147,303.9,100.0,100.0,2.7999999999999994e-84,100.0,147,303.9,100.0,100.0
WP_003664519.1,WP_003664519.1,1.3999999999999997e-147,100.0,256,515.0,100.0,100.0,1.3999999999999997e-147,100.0,256,515.0,100.0,100.0
WP_003664528.1,WP_003664528.1,1.3e-66,100.0,127,245.0,100.0,100.0,1.3e-66,100.0,127,245.0,100.0,100.0
WP_003664530.1,WP_003664530.1,4.2999999999999983e-175,100.0,314,606.7,100.0,100.0,4.1999999999999983e-175,100.0,314,606.7,100.0,100.0
WP_003664532.1,WP_003664532.1,2.6999999999999998e-67,100.0,129,247.3,100.0,100.0,2.6999999999999998e-67,100.0,129,247.3,100.0,100.0
WP_003664537.1,WP_003664537.1,6.299999999999999e-37,100.0,72,145.6,100.0,100.0,6.0999999999999995e-37,100.0,72,145.6,100.0,100.0
WP_003664539.1,WP_003664539.1,4.699999999999998e-244,100.0,438,836.3,100.0,100.0,4.5999999999999974e-244,100.0,438,836.3,100.0,100.0
WP_003664541.1,WP_003664541.1,2.6000000000000004e-28,100.0,60,116.7,100.0,100.0,2.5e-28,100.0,60,116.7,100.0,100.0
WP_003664542.1,WP_003664542.1,2.5999999999999995e-89,100.0,169,320.9,100.0,100.0,2.5e-89,100.0,169,320.9,100.0,100.0
WP_003664544.1,WP_003664544.1,4.899999999999999e-99,100.0,178,353.2,100.0,100.0,4.7999999999999985e-99,100.0,178,353.2,100.0,100.0
WP_003664546.1,WP_003664546.1,1.1999999999999997e-70,100.0,132,258.5,100.0,100.0,1.1999999999999997e-70,100.0,132,258.5,100.0,100.0
WP_003664547.1,WP_003664547.1,2.7e-33,100.0,61,133.3,100.0,100.0,2.7e-33,100.0,61,133.3,100.0,100.0
WP_003664549.1,WP_003664549.1,2.9999999999999997e-53,100.0,102,200.3,100.0,100.0,2.9999999999999997e-53,100.0,102,200.3,100.0,100.0
WP_003664550.1,WP_003664550.1,4.599999999999999e-64,100.0,122,236.5,100.0,100.0,4.4999999999999994e-64,100.0,122,236.5,100.0,100.0
WP_003664551.1,WP_003664551.1,7.6e-45,100.0,88,172.2,100.0,100.0,7.499999999999999e-45,100.0,88,172.2,100.0,100.0
WP_003664552.1,WP_003664552.1,1.3e-31,100.0,68,127.9,100.0,100.0,1.3e-31,100.0,68,127.9,100.0,100.0
WP_003664555.1,WP_003664555.1,4.099999999999999e-80,100.0,144,290.0,100.0,100.0,3.999999999999999e-80,100.0,144,290.0,100.0,100.0
WP_003664556.1,WP_003664556.1,2.4999999999999993e-116,100.0,221,411.0,100.0,100.0,2.3999999999999994e-116,100.0,221,411.0,100.0,100.0
WP_003664558.1,WP_003664558.1,3.3e-56,100.0,115,210.3,100.0,100.0,3.2e-56,100.0,115,210.3,100.0,100.0
WP_003664560.1,WP_003664560.1,1.7e-50,100.0,92,191.0,100.0,100.0,1.5999999999999998e-50,100.0,92,191.0,100.0,100.0
WP_003664563.1,WP_003664563.1,2.1999999999999994e-154,100.0,281,537.7,100.0,100.0,2.1999999999999994e-154,100.0,281,537.7,100.0,100.0
WP_003664564.1,WP_003664564.1,6.7e-50,100.0,98,189.1,100.0,100.0,6.6e-50,100.0,98,189.1,100.0,100.0
WP_003664566.1,WP_003664566.1,8.499999999999999e-111,100.0,207,392.5,100.0,100.0,8.299999999999999e-111,100.0,207,392.5,100.0,100.0
WP_003664567.1,WP_003664567.1,2.2999999999999995e-122,100.0,219,431.0,100.0,100.0,2.1999999999999997e-122,100.0,219,431.0,100.0,100.0
WP_003664569.1,WP_003664569.1,5.2e-53,100.0,102,199.5,100.0,100.0,5.0999999999999995e-53,100.0,102,199.5,100.0,100.0
WP_003664573.1,WP_003664573.1,0.0,100.0,695,1373.6,100.0,100.0,0.0,100.0,695,1373.6,100.0,100.0
